sku,category,,,
LA1,IRONING BOARD,,,
LA11,IRONING BOARD,,,
LA12,IRONING BOARD,,,
LA2,IRONING BOARD,,,
LA3,IRONING BOARD,,,
LA4,IRONING BOARD,,,
LA5,IRONING BOARD,,,
LAF01,AIRFRYER,,,
LAF02,AIRFRYER,,,
LAF03,AIRFRYER,,,
LBF01,NOT SELLING,,,
LBL1450B,ICECREAM MAKER,,,
LBL1450B2,ICECREAM MAKER,,,
LBL520,ICECREAM MAKER,,,
LBL5201,ICECREAM MAKER,,,
LBL5202,ICECREAM MAKER,,,
LCFB01,NOT SELLING,,,
LCFEB 2,NOT SELLING,,,
LCFEB01,NOT SELLING,,,
LCFEW 2,NOT SELLING,,,
LCFEW01,NOT SELLING,,,
LCFG01,NOT SELLING,,,
LCFI02,NOT SELLING,,,
LECH01,NOT SELLING,,,
LECS01,NOT SELLING,,,
LECS02,NOT SELLING,,,
LEDM01,NOT SELLING,,,
LEK01,ELECTRIC KETTLE,,,
LEK02,ELECTRIC KETTLE,,,
LEXH12,NOT SELLING,,,
LGM747,MIXER GRINDER,,,
LGM747G,MIXER GRINDER,,,
LHB01,NOT SELLING,,,
LICRH01,ROOM HEATER,,,
LIRH01,ROOM HEATER,,,
LIRH02,ROOM HEATER,,,
LIRH021,ROOM HEATER,,,
LMX01,COMMERCIAL MIXER GRINDER,,,
LMX02,COMMERCIAL MIXER GRINDER,,,
LMX04,COMMERCIAL MIXER GRINDER,,,
LMX04N,COMMERCIAL MIXER GRINDER,,,
LNB02,NUTRIBLENDER,,,
LNB03,NUTRIBLENDER,,,
LNB04,NUTRIBLENDER,,,
LNB05,NUTRIBLENDER,,,
LNUB01,NUTRIBLENDER,,,
LNUB5J01,NUTRIBLENDER,,,
LNUB5J011,NUTRIBLENDER,,,
LNUB5JR01,NUTRIBLENDER,,,
LNUB5JS01,NUTRIBLENDER,,,
LNUBC01,NUTRIBLENDER,,,
LNUBJ01,NUTRIBLENDER,,,
LNUBJ011,NUTRIBLENDER,,,
LNUBJC01,NUTRIBLENDER,,,
LNUBJC011,NUTRIBLENDER,,,
LNUBJCR01,NUTRIBLENDER,,,
LNUBJCS01,NUTRIBLENDER,,,
LNUBJR01,NUTRIBLENDER,,,
LNUBJS01,NUTRIBLENDER,,,
LNUBR01,NUTRIBLENDER,,,
LNUBS01,NUTRIBLENDER,,,
LPB01BL,PORTABLE BLENDER,,,
LPB01BU,PORTABLE BLENDER,,,
LPB01GR,PORTABLE BLENDER,,,
LPB01GR1,PORTABLE BLENDER,,,
LPB01PI,PORTABLE BLENDER,,,
LPB01WH,PORTABLE BLENDER,,,
LPC01,ELECTRIC PRESSURE COOKER,,,
LPC02,ELECTRIC PRESSURE COOKER,,,
LPM01,POPCORN MAKER,,,
LRM02,ROTIMAKER,,,
LRM021,ROTIMAKER,,,
LRM03,ROTIMAKER,,,
LSG01,SANDWICH MAKER,,,
LSG011,SANDWICH MAKER,,,
LSG02,SANDWICH MAKER,,,
LSG03,SANDWICH MAKER,,,
LSJ01,SLOW JUICER,,,
LTF-01,TOWER FAN,,,
LTF-02,TOWER FAN,,,
LWM01,WAFFLE MAKER,,,
LYM01,YOGURT MAKER,,,
NEO27,COOLER,,,
PCF 25DLX,COOLER,,,
Platini PX97,MIXER GRINDER,,,
SB2003,COOLER,,,
SC217,STAND MIXER,,,
SC605E,STAND MIXER,,,
SM-519,SEWING MACHINE,,,
SM-617,SEWING MACHINE,,,
SM-618,SEWING MACHINE,,,
SRC05-HK,VACUUM CLEANER,,,
TC2007,COOLER,,,
TMH 12,COOLER,,,
TMH 20,COOLER,,,
